run,dl,ul,ping,record time
491,422.781,211.253,11.626,2023-09-26 18:52:05
492,272.122,241.549,11.626,2023-09-26 18:53:05
493,252.277,246.444,11.626,2023-09-26 18:54:06
494,273.024,246.369,11.626,2023-09-26 18:55:06
495,250.511,239.353,11.626,2023-09-26 18:56:06
496,275.723,243.845,11.626,2023-09-26 18:57:07
497,235.093,183.722,11.626,2023-09-26 18:58:09
498,223.959,208.552,11.626,2023-09-26 18:59:10
499,234.023,201.902,11.626,2023-09-26 19:00:12
500,219.887,183.356,11.626,2023-09-26 19:01:14
501,215.251,168.459,11.626,2023-09-26 19:02:17
502,227.838,228.236,11.626,2023-09-26 19:03:17
503,248.062,218.674,11.626,2023-09-26 19:04:19
504,271.271,243.429,11.626,2023-09-26 19:05:19
505,230.638,230.026,11.626,2023-09-26 19:06:20
506,327.574,255.253,11.626,2023-09-26 19:07:20
507,365.162,259.07,11.626,2023-09-26 19:08:19
508,611.996,265.636,11.626,2023-09-26 19:09:14
509,672.861,263.103,11.626,2023-09-26 19:10:09
510,509.224,256.889,11.626,2023-09-26 19:11:05
511,553.541,265.837,11.626,2023-09-26 19:12:01
512,581.514,265.481,11.626,2023-09-26 19:12:57
513,596.444,264.438,11.626,2023-09-26 19:13:52
514,617.216,263.827,11.626,2023-09-26 19:14:48
