Run Count Download - Upload - PING Record Time
233 208.811 Mbps - 245.142 Mbps - 11.626 2023-09-26 14:32:52.911368
234 263.721 Mbps - 242.113 Mbps - 11.626 2023-09-26 14:33:53.289988
235 265.997 Mbps - 239.562 Mbps - 11.626 2023-09-26 14:34:53.751967
236 237.776 Mbps - 250.112 Mbps - 11.626 2023-09-26 14:35:54.073955
237 243.272 Mbps - 241.573 Mbps - 11.626 2023-09-26 14:36:54.447661
238 228.85 Mbps - 242.017 Mbps - 11.626 2023-09-26 14:37:54.805863
239 267.769 Mbps - 245.815 Mbps - 11.626 2023-09-26 14:38:55.059887
240 243.502 Mbps - 248.267 Mbps - 11.626 2023-09-26 14:39:55.457751
241 265.29 Mbps - 247.582 Mbps - 11.626 2023-09-26 14:40:55.761973
242 273.039 Mbps - 251.397 Mbps - 11.626 2023-09-26 14:41:55.979996
243 242.165 Mbps - 242.366 Mbps - 11.626 2023-09-26 14:42:56.371319
244 228.272 Mbps - 243.332 Mbps - 11.626 2023-09-26 14:43:56.696830
245 255.268 Mbps - 240.534 Mbps - 11.626 2023-09-26 14:44:57.052843
246 259.099 Mbps - 245.135 Mbps - 11.626 2023-09-26 14:45:57.341650
247 247.623 Mbps - 241.781 Mbps - 11.626 2023-09-26 14:46:57.739495
248 251.614 Mbps - 237.667 Mbps - 11.626 2023-09-26 14:47:58.271570
249 268.566 Mbps - 246.706 Mbps - 11.626 2023-09-26 14:48:58.593492
250 252.308 Mbps - 242.039 Mbps - 11.626 2023-09-26 14:49:58.992978
251 273.714 Mbps - 242.302 Mbps - 11.626 2023-09-26 14:50:59.323946
252 267.34 Mbps - 246.968 Mbps - 11.626 2023-09-26 14:51:59.616783
253 270.219 Mbps - 245.697 Mbps - 11.626 2023-09-26 14:52:59.992734
254 256.752 Mbps - 236.837 Mbps - 11.626 2023-09-26 14:54:00.548048
255 235.038 Mbps - 222.102 Mbps - 11.626 2023-09-26 14:55:01.729771
256 246.717 Mbps - 248.589 Mbps - 11.626 2023-09-26 14:56:01.960749
257 264.269 Mbps - 239.734 Mbps - 11.626 2023-09-26 14:57:02.353778
258 204.142 Mbps - 235.505 Mbps - 11.626 2023-09-26 14:58:02.877228
259 240.14 Mbps - 247.587 Mbps - 11.626 2023-09-26 14:59:03.220056
260 250.56 Mbps - 238.351 Mbps - 11.626 2023-09-26 15:00:03.863744
261 236.944 Mbps - 239.41 Mbps - 11.626 2023-09-26 15:01:04.349587
262 192.922 Mbps - 231.368 Mbps - 11.626 2023-09-26 15:02:04.988083
263 243.79 Mbps - 212.373 Mbps - 11.626 2023-09-26 15:03:06.190239
264 239.629 Mbps - 217.17 Mbps - 11.626 2023-09-26 15:04:07.304574
265 258.949 Mbps - 237.599 Mbps - 11.626 2023-09-26 15:05:07.710475
266 252.112 Mbps - 201.258 Mbps - 11.626 2023-09-26 15:06:09.155764
267 252.592 Mbps - 242.469 Mbps - 11.626 2023-09-26 15:07:09.542954
268 294.211 Mbps - 249.699 Mbps - 11.626 2023-09-26 15:08:09.783758
269 269.237 Mbps - 243.492 Mbps - 11.626 2023-09-26 15:09:10.107782
270 297.538 Mbps - 241.843 Mbps - 11.626 2023-09-26 15:10:10.523753
271 289.354 Mbps - 240.1 Mbps - 11.626 2023-09-26 15:11:10.899599
272 236.932 Mbps - 248.819 Mbps - 11.626 2023-09-26 15:12:11.196478
273 277.049 Mbps - 245.051 Mbps - 11.626 2023-09-26 15:13:11.513403
274 272.732 Mbps - 245.043 Mbps - 11.626 2023-09-26 15:14:11.798179
275 154.534 Mbps - 144.825 Mbps - 11.626 2023-09-26 15:15:15.686250
276 266.78 Mbps - 241.759 Mbps - 11.626 2023-09-26 15:16:16.063053
277 201.655 Mbps - 235.403 Mbps - 11.626 2023-09-26 15:17:16.628438
